VerbAnalysis,CoreAnalysis,Person,Number,Tense,Mood,Voice,Gender,Case,PerseusType
urn:cite:hclat:verbAnalyses.416,urn:cite:hclat:analyses.469,,plural,,gerundive,passive,neuter,genitive,conj3_io
urn:cite:hclat:verbAnalyses.417,urn:cite:hclat:analyses.469,,singular,,gerundive,passive,masculine,accusative,conj3_io
urn:cite:hclat:verbAnalyses.418,urn:cite:hclat:analyses.469,,singular,,gerundive,passive,neuter,accusative,conj3_io
urn:cite:hclat:verbAnalyses.419,urn:cite:hclat:analyses.469,,singular,,gerundive,passive,neuter,nominative,conj3_io
urn:cite:hclat:verbAnalyses.420,urn:cite:hclat:analyses.469,,singular,,gerundive,passive,neuter,vocative,conj3_io
urn:cite:hclat:verbAnalyses.421,urn:cite:hclat:analyses.472,,,,supine,,,,pp4
urn:cite:hclat:verbAnalyses.422,urn:cite:hclat:analyses.472,,plural,perfect,participle,passive,masculine,genitive,pp4
urn:cite:hclat:verbAnalyses.423,urn:cite:hclat:analyses.472,,plural,perfect,participle,passive,neuter,genitive,pp4
urn:cite:hclat:verbAnalyses.424,urn:cite:hclat:analyses.472,,singular,perfect,participle,passive,masculine,accusative,pp4
urn:cite:hclat:verbAnalyses.425,urn:cite:hclat:analyses.472,,singular,perfect,participle,passive,neuter,accusative,pp4
urn:cite:hclat:verbAnalyses.426,urn:cite:hclat:analyses.472,,singular,perfect,participle,passive,neuter,nominative,pp4
urn:cite:hclat:verbAnalyses.427,urn:cite:hclat:analyses.472,,singular,perfect,participle,passive,neuter,vocative,pp4
urn:cite:hclat:verbAnalyses.428,urn:cite:hclat:analyses.480,3rd,plural,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.429,urn:cite:hclat:analyses.481,3rd,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.430,urn:cite:hclat:analyses.486,1st,singular,present,subjunctive,passive,,,conj1
urn:cite:hclat:verbAnalyses.431,urn:cite:hclat:analyses.490,2nd,singular,present,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.432,urn:cite:hclat:analyses.492,3rd,singular,present,subjunctive,active,,,irreg_pp1
urn:cite:hclat:verbAnalyses.433,urn:cite:hclat:analyses.497,,,present,infinitive,passive,,,irreg_pp1
urn:cite:hclat:verbAnalyses.434,urn:cite:hclat:analyses.5,1st,plural,imperfect,subjunctive,active,,,irreg_pp1
urn:cite:hclat:verbAnalyses.435,urn:cite:hclat:analyses.509,2nd,singular,present,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.436,urn:cite:hclat:analyses.510,2nd,plural,present,imperative,passive,,,conj1
urn:cite:hclat:verbAnalyses.437,urn:cite:hclat:analyses.510,2nd,plural,present,indicative,passive,,,conj1
urn:cite:hclat:verbAnalyses.438,urn:cite:hclat:analyses.515,,plural,present,participle,active,neuter,accusative,conj2
urn:cite:hclat:verbAnalyses.439,urn:cite:hclat:analyses.515,,plural,present,participle,active,neuter,nominative,conj2
urn:cite:hclat:verbAnalyses.440,urn:cite:hclat:analyses.515,,plural,present,participle,active,neuter,vocative,conj2
urn:cite:hclat:verbAnalyses.441,urn:cite:hclat:analyses.517,1st,singular,present,indicative,passive,,,conj1
urn:cite:hclat:verbAnalyses.442,urn:cite:hclat:analyses.519,2nd,singular,present,indicative,active,,,conj4
urn:cite:hclat:verbAnalyses.443,urn:cite:hclat:analyses.524,,plural,perfect,participle,passive,neuter,accusative,pp4
urn:cite:hclat:verbAnalyses.444,urn:cite:hclat:analyses.524,,plural,perfect,participle,passive,neuter,nominative,pp4
urn:cite:hclat:verbAnalyses.445,urn:cite:hclat:analyses.524,,plural,perfect,participle,passive,neuter,vocative,pp4
urn:cite:hclat:verbAnalyses.446,urn:cite:hclat:analyses.524,,singular,perfect,participle,passive,feminine,ablative,pp4
urn:cite:hclat:verbAnalyses.447,urn:cite:hclat:analyses.524,,singular,perfect,participle,passive,feminine,nominative,pp4
urn:cite:hclat:verbAnalyses.448,urn:cite:hclat:analyses.524,,singular,perfect,participle,passive,feminine,vocative,pp4
urn:cite:hclat:verbAnalyses.449,urn:cite:hclat:analyses.525,,singular,perfect,participle,passive,masculine,ablative,pp4
urn:cite:hclat:verbAnalyses.450,urn:cite:hclat:analyses.525,,singular,perfect,participle,passive,masculine,dative,pp4
urn:cite:hclat:verbAnalyses.451,urn:cite:hclat:analyses.525,,singular,perfect,participle,passive,neuter,ablative,pp4
urn:cite:hclat:verbAnalyses.452,urn:cite:hclat:analyses.525,,singular,perfect,participle,passive,neuter,dative,pp4
urn:cite:hclat:verbAnalyses.453,urn:cite:hclat:analyses.525,2nd,singular,future,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.454,urn:cite:hclat:analyses.525,3rd,singular,future,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.455,urn:cite:hclat:analyses.533,2nd,singular,present,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.456,urn:cite:hclat:analyses.534,3rd,plural,pluperfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.457,urn:cite:hclat:analyses.535,3rd,plural,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.458,urn:cite:hclat:analyses.537,3rd,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.459,urn:cite:hclat:analyses.538,,singular,perfect,participle,passive,masculine,ablative,pp4
urn:cite:hclat:verbAnalyses.460,urn:cite:hclat:analyses.538,,singular,perfect,participle,passive,masculine,dative,pp4
urn:cite:hclat:verbAnalyses.461,urn:cite:hclat:analyses.538,,singular,perfect,participle,passive,neuter,ablative,pp4
urn:cite:hclat:verbAnalyses.462,urn:cite:hclat:analyses.538,,singular,perfect,participle,passive,neuter,dative,pp4
urn:cite:hclat:verbAnalyses.463,urn:cite:hclat:analyses.547,2nd,singular,present,indicative,active,,,conj1
urn:cite:hclat:verbAnalyses.464,urn:cite:hclat:analyses.551,,singular,present,participle,active,feminine,accusative,conj3
urn:cite:hclat:verbAnalyses.465,urn:cite:hclat:analyses.551,,singular,present,participle,active,masculine,accusative,conj3
urn:cite:hclat:verbAnalyses.466,urn:cite:hclat:analyses.56,,,present,infinitive,passive,,,conj1
urn:cite:hclat:verbAnalyses.467,urn:cite:hclat:analyses.57,,plural,perfect,participle,passive,masculine,nominative,pp4
urn:cite:hclat:verbAnalyses.468,urn:cite:hclat:analyses.57,,plural,perfect,participle,passive,masculine,vocative,pp4
urn:cite:hclat:verbAnalyses.469,urn:cite:hclat:analyses.57,,singular,perfect,participle,passive,masculine,genitive,pp4
urn:cite:hclat:verbAnalyses.470,urn:cite:hclat:analyses.57,,singular,perfect,participle,passive,neuter,genitive,pp4
urn:cite:hclat:verbAnalyses.471,urn:cite:hclat:analyses.599,2nd,singular,present,imperative,active,,,irreg_pp1
urn:cite:hclat:verbAnalyses.472,urn:cite:hclat:analyses.60,,,,null,,,,conj1
urn:cite:hclat:verbAnalyses.473,urn:cite:hclat:analyses.600,3rd,singular,present,indicative,active,,,conj2
urn:cite:hclat:verbAnalyses.474,urn:cite:hclat:analyses.609,1st,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.475,urn:cite:hclat:analyses.616,3rd,singular,present,indicative,active,,,conj1
urn:cite:hclat:verbAnalyses.476,urn:cite:hclat:analyses.628,2nd,singular,present,imperative,active,,,conj3
urn:cite:hclat:verbAnalyses.477,urn:cite:hclat:analyses.63,,singular,perfect,participle,passive,masculine,nominative,pp4
urn:cite:hclat:verbAnalyses.478,urn:cite:hclat:analyses.638,,singular,perfect,participle,passive,masculine,ablative,pp4
urn:cite:hclat:verbAnalyses.479,urn:cite:hclat:analyses.638,,singular,perfect,participle,passive,masculine,dative,pp4
urn:cite:hclat:verbAnalyses.480,urn:cite:hclat:analyses.638,,singular,perfect,participle,passive,neuter,ablative,pp4
urn:cite:hclat:verbAnalyses.481,urn:cite:hclat:analyses.638,,singular,perfect,participle,passive,neuter,dative,pp4
urn:cite:hclat:verbAnalyses.482,urn:cite:hclat:analyses.639,1st,singular,present,subjunctive,active,,,conj1
urn:cite:hclat:verbAnalyses.483,urn:cite:hclat:analyses.647,2nd,singular,present,imperative,active,,,conj3
urn:cite:hclat:verbAnalyses.484,urn:cite:hclat:analyses.649,3rd,plural,pluperfect,subjunctive,active,,,avperf
urn:cite:hclat:verbAnalyses.485,urn:cite:hclat:analyses.658,2nd,singular,present,indicative,active,,,irreg_pp1
urn:cite:hclat:verbAnalyses.486,urn:cite:hclat:analyses.660,2nd,singular,present,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.487,urn:cite:hclat:analyses.662,1st,singular,present,subjunctive,active,,,conj1
urn:cite:hclat:verbAnalyses.488,urn:cite:hclat:analyses.663,1st,singular,present,subjunctive,passive,,,conj1
urn:cite:hclat:verbAnalyses.489,urn:cite:hclat:analyses.681,3rd,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.490,urn:cite:hclat:analyses.689,1st,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.491,urn:cite:hclat:analyses.7,,,present,infinitive,passive,,,conj3
urn:cite:hclat:verbAnalyses.492,urn:cite:hclat:analyses.7,1st,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.493,urn:cite:hclat:analyses.702,,plural,perfect,participle,passive,masculine,nominative,pp4
urn:cite:hclat:verbAnalyses.494,urn:cite:hclat:analyses.702,,plural,perfect,participle,passive,masculine,vocative,pp4
urn:cite:hclat:verbAnalyses.495,urn:cite:hclat:analyses.702,,singular,perfect,participle,passive,masculine,genitive,pp4
urn:cite:hclat:verbAnalyses.496,urn:cite:hclat:analyses.702,,singular,perfect,participle,passive,neuter,genitive,pp4
urn:cite:hclat:verbAnalyses.497,urn:cite:hclat:analyses.708,,,present,infinitive,passive,,,conj3
urn:cite:hclat:verbAnalyses.498,urn:cite:hclat:analyses.708,1st,singular,perfect,indicative,active,,,avperf
urn:cite:hclat:verbAnalyses.499,urn:cite:hclat:analyses.708,2nd,singular,present,indicative,active,,,conj3
urn:cite:hclat:verbAnalyses.500,urn:cite:hclat:analyses.711,3rd,singular,present,indicative,active,,,conj1
urn:cite:hclat:verbAnalyses.501,urn:cite:hclat:analyses.711,3rd,singular,present,subjunctive,active,,,conj3
urn:cite:hclat:verbAnalyses.502,urn:cite:hclat:analyses.712,,singular,perfect,participle,passive,masculine,ablative,pp4
urn:cite:hclat:verbAnalyses.503,urn:cite:hclat:analyses.712,,singular,perfect,participle,passive,masculine,dative,pp4
urn:cite:hclat:verbAnalyses.504,urn:cite:hclat:analyses.712,,singular,perfect,participle,passive,neuter,ablative,pp4
urn:cite:hclat:verbAnalyses.505,urn:cite:hclat:analyses.712,,singular,perfect,participle,passive,neuter,dative,pp4
urn:cite:hclat:verbAnalyses.506,urn:cite:hclat:analyses.712,2nd,singular,future,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.507,urn:cite:hclat:analyses.712,3rd,singular,future,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.508,urn:cite:hclat:analyses.713,,,,supine,,,,pp4
urn:cite:hclat:verbAnalyses.509,urn:cite:hclat:analyses.713,,plural,perfect,participle,passive,masculine,genitive,pp4
urn:cite:hclat:verbAnalyses.510,urn:cite:hclat:analyses.713,,plural,perfect,participle,passive,neuter,genitive,pp4
urn:cite:hclat:verbAnalyses.511,urn:cite:hclat:analyses.713,,singular,perfect,participle,passive,masculine,accusative,pp4
urn:cite:hclat:verbAnalyses.512,urn:cite:hclat:analyses.713,,singular,perfect,participle,passive,neuter,accusative,pp4
urn:cite:hclat:verbAnalyses.513,urn:cite:hclat:analyses.713,,singular,perfect,participle,passive,neuter,nominative,pp4
urn:cite:hclat:verbAnalyses.514,urn:cite:hclat:analyses.713,,singular,perfect,participle,passive,neuter,vocative,pp4
urn:cite:hclat:verbAnalyses.515,urn:cite:hclat:analyses.714,,singular,perfect,participle,passive,masculine,nominative,pp4
urn:cite:hclat:verbAnalyses.516,urn:cite:hclat:analyses.715,,,present,infinitive,passive,,,conj3
urn:cite:hclat:verbAnalyses.517,urn:cite:hclat:analyses.715,1st,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.518,urn:cite:hclat:analyses.715,2nd,singular,present,indicative,active,,,conj3
urn:cite:hclat:verbAnalyses.519,urn:cite:hclat:analyses.716,2nd,singular,present,indicative,active,,,conj3
urn:cite:hclat:verbAnalyses.520,urn:cite:hclat:analyses.723,1st,singular,present,subjunctive,passive,,,conj1
urn:cite:hclat:verbAnalyses.521,urn:cite:hclat:analyses.731,1st,plural,present,indicative,active,,,conj1
urn:cite:hclat:verbAnalyses.522,urn:cite:hclat:analyses.735,1st,singular,future,indicative,active,,,conj4
urn:cite:hclat:verbAnalyses.523,urn:cite:hclat:analyses.735,1st,singular,present,subjunctive,active,,,conj4
urn:cite:hclat:verbAnalyses.524,urn:cite:hclat:analyses.739,3rd,singular,perfect,indicative,active,,,avperf
urn:cite:hclat:verbAnalyses.525,urn:cite:hclat:analyses.745,1st,singular,future,indicative,passive,,,conj3
urn:cite:hclat:verbAnalyses.526,urn:cite:hclat:analyses.745,1st,singular,present,subjunctive,passive,,,conj3
urn:cite:hclat:verbAnalyses.527,urn:cite:hclat:analyses.749,1st,singular,present,indicative,active,,,conj1
urn:cite:hclat:verbAnalyses.528,urn:cite:hclat:analyses.77,1st,singular,present,indicative,active,,,conj1
urn:cite:hclat:verbAnalyses.529,urn:cite:hclat:analyses.778,1st,plural,present,indicative,active,,,conj3
urn:cite:hclat:verbAnalyses.530,urn:cite:hclat:analyses.78,1st,singular,present,indicative,passive,,,conj1
urn:cite:hclat:verbAnalyses.531,urn:cite:hclat:analyses.780,2nd,singular,present,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.532,urn:cite:hclat:analyses.781,3rd,singular,pluperfect,indicative,active,,,avperf
urn:cite:hclat:verbAnalyses.533,urn:cite:hclat:analyses.782,3rd,singular,perfect,indicative,active,,,avperf
urn:cite:hclat:verbAnalyses.534,urn:cite:hclat:analyses.8,,plural,perfect,participle,passive,masculine,nominative,pp4
urn:cite:hclat:verbAnalyses.535,urn:cite:hclat:analyses.8,,plural,perfect,participle,passive,masculine,vocative,pp4
urn:cite:hclat:verbAnalyses.536,urn:cite:hclat:analyses.8,,singular,perfect,participle,passive,masculine,genitive,pp4
urn:cite:hclat:verbAnalyses.537,urn:cite:hclat:analyses.8,,singular,perfect,participle,passive,neuter,genitive,pp4
urn:cite:hclat:verbAnalyses.538,urn:cite:hclat:analyses.814,2nd,singular,present,subjunctive,active,,,conj1
urn:cite:hclat:verbAnalyses.539,urn:cite:hclat:analyses.815,2nd,singular,present,indicative,active,,,conj3_io
urn:cite:hclat:verbAnalyses.540,urn:cite:hclat:analyses.816,2nd,singular,present,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.541,urn:cite:hclat:analyses.818,2nd,singular,present,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.542,urn:cite:hclat:analyses.824,2nd,singular,present,indicative,active,,,conj4
urn:cite:hclat:verbAnalyses.543,urn:cite:hclat:analyses.827,2nd,singular,present,imperative,active,,,conj2
urn:cite:hclat:verbAnalyses.544,urn:cite:hclat:analyses.827,2nd,singular,present,indicative,active,,,conj2
urn:cite:hclat:verbAnalyses.545,urn:cite:hclat:analyses.828,,singular,present,participle,active,feminine,ablative,conj2
urn:cite:hclat:verbAnalyses.546,urn:cite:hclat:analyses.828,,singular,present,participle,active,feminine,dative,conj2
urn:cite:hclat:verbAnalyses.547,urn:cite:hclat:analyses.828,,singular,present,participle,active,masculine,ablative,conj2
urn:cite:hclat:verbAnalyses.548,urn:cite:hclat:analyses.828,,singular,present,participle,active,masculine,dative,conj2
urn:cite:hclat:verbAnalyses.549,urn:cite:hclat:analyses.828,,singular,present,participle,active,neuter,ablative,conj2
urn:cite:hclat:verbAnalyses.550,urn:cite:hclat:analyses.828,,singular,present,participle,active,neuter,dative,conj2
urn:cite:hclat:verbAnalyses.551,urn:cite:hclat:analyses.829,,plural,perfect,participle,passive,neuter,accusative,pp4
urn:cite:hclat:verbAnalyses.552,urn:cite:hclat:analyses.829,,plural,perfect,participle,passive,neuter,nominative,pp4
urn:cite:hclat:verbAnalyses.553,urn:cite:hclat:analyses.829,,plural,perfect,participle,passive,neuter,vocative,pp4
urn:cite:hclat:verbAnalyses.554,urn:cite:hclat:analyses.829,,singular,perfect,participle,passive,feminine,ablative,pp4
urn:cite:hclat:verbAnalyses.555,urn:cite:hclat:analyses.829,,singular,perfect,participle,passive,feminine,nominative,pp4
urn:cite:hclat:verbAnalyses.556,urn:cite:hclat:analyses.829,,singular,perfect,participle,passive,feminine,vocative,pp4
urn:cite:hclat:verbAnalyses.557,urn:cite:hclat:analyses.829,2nd,singular,present,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.558,urn:cite:hclat:analyses.830,,,,supine,,,,pp4
urn:cite:hclat:verbAnalyses.559,urn:cite:hclat:analyses.830,,plural,perfect,participle,passive,masculine,genitive,pp4
urn:cite:hclat:verbAnalyses.560,urn:cite:hclat:analyses.830,,plural,perfect,participle,passive,neuter,genitive,pp4
urn:cite:hclat:verbAnalyses.561,urn:cite:hclat:analyses.830,,singular,perfect,participle,passive,masculine,accusative,pp4
urn:cite:hclat:verbAnalyses.562,urn:cite:hclat:analyses.830,,singular,perfect,participle,passive,neuter,accusative,pp4
urn:cite:hclat:verbAnalyses.563,urn:cite:hclat:analyses.830,,singular,perfect,participle,passive,neuter,nominative,pp4
urn:cite:hclat:verbAnalyses.564,urn:cite:hclat:analyses.830,,singular,perfect,participle,passive,neuter,vocative,pp4
urn:cite:hclat:verbAnalyses.565,urn:cite:hclat:analyses.833,,singular,present,participle,active,feminine,ablative,conj3
urn:cite:hclat:verbAnalyses.566,urn:cite:hclat:analyses.833,,singular,present,participle,active,feminine,dative,conj3
urn:cite:hclat:verbAnalyses.567,urn:cite:hclat:analyses.833,,singular,present,participle,active,masculine,ablative,conj3
urn:cite:hclat:verbAnalyses.568,urn:cite:hclat:analyses.833,,singular,present,participle,active,masculine,dative,conj3
urn:cite:hclat:verbAnalyses.569,urn:cite:hclat:analyses.833,,singular,present,participle,active,neuter,ablative,conj3
urn:cite:hclat:verbAnalyses.570,urn:cite:hclat:analyses.833,,singular,present,participle,active,neuter,dative,conj3
urn:cite:hclat:verbAnalyses.571,urn:cite:hclat:analyses.842,3rd,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.572,urn:cite:hclat:analyses.862,,,,supine,,,,pp4
urn:cite:hclat:verbAnalyses.573,urn:cite:hclat:analyses.862,,plural,perfect,participle,passive,masculine,genitive,pp4
urn:cite:hclat:verbAnalyses.574,urn:cite:hclat:analyses.862,,plural,perfect,participle,passive,neuter,genitive,pp4
urn:cite:hclat:verbAnalyses.575,urn:cite:hclat:analyses.862,,singular,perfect,participle,passive,masculine,accusative,pp4
urn:cite:hclat:verbAnalyses.576,urn:cite:hclat:analyses.862,,singular,perfect,participle,passive,neuter,accusative,pp4
urn:cite:hclat:verbAnalyses.577,urn:cite:hclat:analyses.862,,singular,perfect,participle,passive,neuter,nominative,pp4
urn:cite:hclat:verbAnalyses.578,urn:cite:hclat:analyses.862,,singular,perfect,participle,passive,neuter,vocative,pp4
urn:cite:hclat:verbAnalyses.579,urn:cite:hclat:analyses.863,2nd,singular,present,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.580,urn:cite:hclat:analyses.879,1st,singular,perfect,indicative,active,,,avperf
urn:cite:hclat:verbAnalyses.581,urn:cite:hclat:analyses.882,2nd,singular,present,imperative,active,,,conj2
urn:cite:hclat:verbAnalyses.582,urn:cite:hclat:analyses.883,1st,singular,present,subjunctive,passive,,,conj2
urn:cite:hclat:verbAnalyses.583,urn:cite:hclat:analyses.885,,plural,present,participle,active,feminine,accusative,conj1
urn:cite:hclat:verbAnalyses.584,urn:cite:hclat:analyses.885,,plural,present,participle,active,feminine,nominative,conj1
urn:cite:hclat:verbAnalyses.585,urn:cite:hclat:analyses.885,,plural,present,participle,active,feminine,vocative,conj1
urn:cite:hclat:verbAnalyses.586,urn:cite:hclat:analyses.885,,plural,present,participle,active,masculine,accusative,conj1
urn:cite:hclat:verbAnalyses.587,urn:cite:hclat:analyses.885,,plural,present,participle,active,masculine,nominative,conj1
urn:cite:hclat:verbAnalyses.588,urn:cite:hclat:analyses.885,,plural,present,participle,active,masculine,vocative,conj1
urn:cite:hclat:verbAnalyses.589,urn:cite:hclat:analyses.894,1st,singular,present,indicative,active,,,conj1
urn:cite:hclat:verbAnalyses.590,urn:cite:hclat:analyses.917,2nd,singular,present,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.591,urn:cite:hclat:analyses.919,3rd,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.592,urn:cite:hclat:analyses.923,3rd,singular,present,indicative,active,,,conj2
urn:cite:hclat:verbAnalyses.593,urn:cite:hclat:analyses.934,2nd,singular,present,indicative,active,,,conj4
urn:cite:hclat:verbAnalyses.594,urn:cite:hclat:analyses.937,,singular,perfect,participle,passive,masculine,ablative,pp4
urn:cite:hclat:verbAnalyses.595,urn:cite:hclat:analyses.937,,singular,perfect,participle,passive,masculine,dative,pp4
urn:cite:hclat:verbAnalyses.596,urn:cite:hclat:analyses.937,,singular,perfect,participle,passive,neuter,ablative,pp4
urn:cite:hclat:verbAnalyses.597,urn:cite:hclat:analyses.937,,singular,perfect,participle,passive,neuter,dative,pp4
urn:cite:hclat:verbAnalyses.598,urn:cite:hclat:analyses.937,2nd,singular,future,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.599,urn:cite:hclat:analyses.937,3rd,singular,future,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.600,urn:cite:hclat:analyses.943,2nd,singular,present,imperative,active,,,conj4
urn:cite:hclat:verbAnalyses.601,urn:cite:hclat:analyses.943,2nd,singular,present,indicative,active,,,conj4
urn:cite:hclat:verbAnalyses.602,urn:cite:hclat:analyses.947,2nd,singular,present,subjunctive,active,,,conj1
urn:cite:hclat:verbAnalyses.603,urn:cite:hclat:analyses.949,,singular,perfect,participle,passive,masculine,ablative,pp4
urn:cite:hclat:verbAnalyses.604,urn:cite:hclat:analyses.949,,singular,perfect,participle,passive,masculine,dative,pp4
urn:cite:hclat:verbAnalyses.605,urn:cite:hclat:analyses.949,,singular,perfect,participle,passive,neuter,ablative,pp4
urn:cite:hclat:verbAnalyses.606,urn:cite:hclat:analyses.949,,singular,perfect,participle,passive,neuter,dative,pp4
urn:cite:hclat:verbAnalyses.607,urn:cite:hclat:analyses.949,2nd,singular,future,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.608,urn:cite:hclat:analyses.949,3rd,singular,future,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.609,urn:cite:hclat:analyses.953,1st,singular,present,subjunctive,active,,,conj1
urn:cite:hclat:verbAnalyses.610,urn:cite:hclat:analyses.962,,singular,present,participle,active,feminine,accusative,conj2
urn:cite:hclat:verbAnalyses.611,urn:cite:hclat:analyses.962,,singular,present,participle,active,masculine,accusative,conj2
urn:cite:hclat:verbAnalyses.612,urn:cite:hclat:analyses.962,1st,singular,present,subjunctive,active,,,conj1
urn:cite:hclat:verbAnalyses.613,urn:cite:hclat:analyses.963,,plural,present,participle,active,feminine,accusative,conj2
urn:cite:hclat:verbAnalyses.614,urn:cite:hclat:analyses.963,,plural,present,participle,active,feminine,nominative,conj2
urn:cite:hclat:verbAnalyses.615,urn:cite:hclat:analyses.963,,plural,present,participle,active,feminine,vocative,conj2
urn:cite:hclat:verbAnalyses.616,urn:cite:hclat:analyses.963,,plural,present,participle,active,masculine,accusative,conj2
urn:cite:hclat:verbAnalyses.617,urn:cite:hclat:analyses.963,,plural,present,participle,active,masculine,nominative,conj2
urn:cite:hclat:verbAnalyses.618,urn:cite:hclat:analyses.963,,plural,present,participle,active,masculine,vocative,conj2
urn:cite:hclat:verbAnalyses.619,urn:cite:hclat:analyses.963,2nd,singular,present,subjunctive,active,,,conj1
urn:cite:hclat:verbAnalyses.620,urn:cite:hclat:analyses.965,,singular,perfect,participle,passive,masculine,vocative,pp4
urn:cite:hclat:verbAnalyses.621,urn:cite:hclat:analyses.965,,singular,perfect,participle,passive,neuter,vocative,pp4
urn:cite:hclat:verbAnalyses.622,urn:cite:hclat:analyses.97,3rd,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.623,urn:cite:hclat:analyses.977,1st,singular,present,indicative,active,,,conj1
urn:cite:hclat:verbAnalyses.624,urn:cite:hclat:analyses.978,1st,singular,present,indicative,active,,,conj1
urn:cite:hclat:verbAnalyses.625,urn:cite:hclat:analyses.987,3rd,singular,pluperfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.626,urn:cite:hclat:analyses.994,3rd,singular,imperfect,subjunctive,active,,,conj3
