Image Reference,Location #
urn:cite:shot:epigimg.IMG_0821,urn:cite:shot:epigsite.pl1
urn:cite:shot:epigimg.IMG_2314,urn:cite:shot:epigsite.pl2
urn:cite:shot:epigimg.IMG_2496,urn:cite:shot:epigsite.pl3
urn:cite:shot:epigimg.IMG_2501,urn:cite:shot:epigsite.pl3
urn:cite:shot:epigimg.IMG_2717,urn:cite:shot:epigsite.pl4
urn:cite:shot:epigimg.IMG_2719,urn:cite:shot:epigsite.pl4
urn:cite:shot:epigimg.IMG_2721,urn:cite:shot:epigsite.pl4
urn:cite:shot:epigimg.IMG_2723,urn:cite:shot:epigsite.pl4
urn:cite:shot:epigimg.IMG_2725,urn:cite:shot:epigsite.pl4
urn:cite:shot:epigimg.IMG_2727,urn:cite:shot:epigsite.pl4
urn:cite:shot:epigimg.IMG_4579,urn:cite:shot:epigsite.pl5
urn:cite:shot:epigimg.IMG_4580,urn:cite:shot:epigsite.pl5
urn:cite:shot:epigimg.IMG_4596,urn:cite:shot:epigsite.pl5
urn:cite:shot:epigimg.IMG_4611,urn:cite:shot:epigsite.pl6
urn:cite:shot:epigimg.IMG_4630,urn:cite:shot:epigsite.pl7
urn:cite:shot:epigimg.IMG_4785,urn:cite:shot:epigsite.pl8
urn:cite:shot:epigimg.IMG_4789,urn:cite:shot:epigsite.pl8
urn:cite:shot:epigimg.IMG_4792,urn:cite:shot:epigsite.pl8
urn:cite:shot:epigimg.IMG_4798,urn:cite:shot:epigsite.pl8
urn:cite:shot:epigimg.IMG_5073,urn:cite:shot:epigsite.pl9
urn:cite:shot:epigimg.IMG_5211,urn:cite:shot:epigsite.pl10
urn:cite:shot:epigimg.IMG_5212,urn:cite:shot:epigsite.pl10
urn:cite:shot:epigimg.IMG_5213,urn:cite:shot:epigsite.pl10
urn:cite:shot:epigimg.IMG_5214,urn:cite:shot:epigsite.pl10
urn:cite:shot:epigimg.IMG_5215,urn:cite:shot:epigsite.pl10
urn:cite:shot:epigimg.IMG_5216,urn:cite:shot:epigsite.pl10
urn:cite:shot:epigimg.IMG_5217,urn:cite:shot:epigsite.pl10
urn:cite:shot:epigimg.IMG_5218,urn:cite:shot:epigsite.pl10
urn:cite:shot:epigimg.IMG_5219,urn:cite:shot:epigsite.pl10
urn:cite:shot:epigimg.IMG_5220,urn:cite:shot:epigsite.pl10
urn:cite:shot:epigimg.IMG_5221,urn:cite:shot:epigsite.pl10
urn:cite:shot:epigimg.IMG_5232,urn:cite:shot:epigsite.pl10
urn:cite:shot:epigimg.IMG_5239,urn:cite:shot:epigsite.pl11
urn:cite:shot:epigimg.IMG_5304,urn:cite:shot:epigsite.pl12
urn:cite:shot:epigimg.IMG_5305,urn:cite:shot:epigsite.pl12
urn:cite:shot:epigimg.IMG_5309,urn:cite:shot:epigsite.pl12
urn:cite:shot:epigimg.IMG_5311,urn:cite:shot:epigsite.pl12
urn:cite:shot:epigimg.IMG_5312,urn:cite:shot:epigsite.pl12
urn:cite:shot:epigimg.IMG_5314,urn:cite:shot:epigsite.pl12
urn:cite:shot:epigimg.IMG_5359,urn:cite:shot:epigsite.pl12
urn:cite:shot:epigimg.IMG_5471,urn:cite:shot:epigsite.pl13
urn:cite:shot:epigimg.IMG_5759,urn:cite:shot:epigsite.pl14
urn:cite:shot:epigimg.IMG_5784,urn:cite:shot:epigsite.pl14
urn:cite:shot:epigimg.IMG_5785,urn:cite:shot:epigsite.pl14
urn:cite:shot:epigimg.IMG_5787,urn:cite:shot:epigsite.pl14
urn:cite:shot:epigimg.IMG_5794,urn:cite:shot:epigsite.pl14
urn:cite:shot:epigimg.IMG_5795,urn:cite:shot:epigsite.pl14
urn:cite:shot:epigimg.IMG_5796,urn:cite:shot:epigsite.pl14
urn:cite:shot:epigimg.IMG_5798,urn:cite:shot:epigsite.pl14
urn:cite:shot:epigimg.IMG_5803,urn:cite:shot:epigsite.pl14
urn:cite:shot:epigimg.IMG_5831,urn:cite:shot:epigsite.pl14
urn:cite:shot:epigimg.IMG_6398,urn:cite:shot:epigsite.pl15
urn:cite:shot:epigimg.IMG_6416,urn:cite:shot:epigsite.pl15
urn:cite:shot:epigimg.IMG_6516,urn:cite:shot:epigsite.pl16
urn:cite:shot:epigimg.IMG_6597,urn:cite:shot:epigsite.pl8
urn:cite:shot:epigimg.IMG_6717,urn:cite:shot:epigsite.pl17
urn:cite:shot:epigimg.IMG_6720,urn:cite:shot:epigsite.pl17
urn:cite:shot:epigimg.IMG_6723,urn:cite:shot:epigsite.pl17
urn:cite:shot:epigimg.IMG_6724,urn:cite:shot:epigsite.pl17
urn:cite:shot:epigimg.IMG_6725,urn:cite:shot:epigsite.pl17
urn:cite:shot:epigimg.IMG_7002,urn:cite:shot:epigsite.pl18
urn:cite:shot:epigimg.IMG_7006,urn:cite:shot:epigsite.pl18
urn:cite:shot:epigimg.IMG_7033,urn:cite:shot:epigsite.pl18
urn:cite:shot:epigimg.IMG_7042,urn:cite:shot:epigsite.pl18
urn:cite:shot:epigimg.IMG_7095,urn:cite:shot:epigsite.pl19
urn:cite:shot:epigimg.IMG_7113,urn:cite:shot:epigsite.pl19
urn:cite:shot:epigimg.IMG_7117,urn:cite:shot:epigsite.pl19
urn:cite:shot:epigimg.IMG_7119,urn:cite:shot:epigsite.pl19
urn:cite:shot:epigimg.IMG_7120,urn:cite:shot:epigsite.pl19
urn:cite:shot:epigimg.IMG_7121,urn:cite:shot:epigsite.pl19
urn:cite:shot:epigimg.IMG_7122,urn:cite:shot:epigsite.pl19
urn:cite:shot:epigimg.IMG_7123,urn:cite:shot:epigsite.pl19
urn:cite:shot:epigimg.IMG_7124,urn:cite:shot:epigsite.pl19
urn:cite:shot:epigimg.IMG_7125,urn:cite:shot:epigsite.pl19
urn:cite:shot:epigimg.IMG_7126,urn:cite:shot:epigsite.pl19
urn:cite:shot:epigimg.IMG_7127,urn:cite:shot:epigsite.pl19
urn:cite:shot:epigimg.IMG_7128,urn:cite:shot:epigsite.pl19
urn:cite:shot:epigimg.IMG_7129,urn:cite:shot:epigsite.pl19
urn:cite:shot:epigimg.IMG_7130,urn:cite:shot:epigsite.pl19
urn:cite:shot:epigimg.IMG_7131,urn:cite:shot:epigsite.pl19
urn:cite:shot:epigimg.IMG_7132,urn:cite:shot:epigsite.pl19
urn:cite:shot:epigimg.IMG_7133,urn:cite:shot:epigsite.pl19
urn:cite:shot:epigimg.IMG_7253,urn:cite:shot:epigsite.pl16
urn:cite:shot:epigimg.IMG_7635,urn:cite:shot:epigsite.pl15
urn:cite:shot:epigimg.IMG_7636,urn:cite:shot:epigsite.pl15
urn:cite:shot:epigimg.IMG_7638,urn:cite:shot:epigsite.pl31
urn:cite:shot:epigimg.IMG_7639,urn:cite:shot:epigsite.pl15
urn:cite:shot:epigimg.IMG_7640,urn:cite:shot:epigsite.pl15
urn:cite:shot:epigimg.IMG_7641,urn:cite:shot:epigsite.pl15
urn:cite:shot:epigimg.IMG_7642,urn:cite:shot:epigsite.pl15
urn:cite:shot:epigimg.IMG_7643,urn:cite:shot:epigsite.pl15
urn:cite:shot:epigimg.IMG_7645,urn:cite:shot:epigsite.pl15
urn:cite:shot:epigimg.IMG_7935,urn:cite:shot:epigsite.pl20
urn:cite:shot:epigimg.IMG_7992,urn:cite:shot:epigsite.pl21
urn:cite:shot:epigimg.IMG_7993,urn:cite:shot:epigsite.pl21
urn:cite:shot:epigimg.IMG_7994,urn:cite:shot:epigsite.pl21
urn:cite:shot:epigimg.IMG_7995,urn:cite:shot:epigsite.pl21
urn:cite:shot:epigimg.IMG_7996,urn:cite:shot:epigsite.pl21
urn:cite:shot:epigimg.IMG_7997,urn:cite:shot:epigsite.pl21
urn:cite:shot:epigimg.IMG_7999,urn:cite:shot:epigsite.pl21
urn:cite:shot:epigimg.IMG_8000,urn:cite:shot:epigsite.pl21
urn:cite:shot:epigimg.IMG_8001,urn:cite:shot:epigsite.pl21
urn:cite:shot:epigimg.IMG_8002,urn:cite:shot:epigsite.pl21
urn:cite:shot:epigimg.IMG_8003,urn:cite:shot:epigsite.pl21
urn:cite:shot:epigimg.IMG_8004,urn:cite:shot:epigsite.pl21
urn:cite:shot:epigimg.IMG_8005,urn:cite:shot:epigsite.pl21
urn:cite:shot:epigimg.IMG_8006,urn:cite:shot:epigsite.pl21
urn:cite:shot:epigimg.IMG_8007,urn:cite:shot:epigsite.pl21
urn:cite:shot:epigimg.IMG_8008,urn:cite:shot:epigsite.pl21
urn:cite:shot:epigimg.IMG_8029,urn:cite:shot:epigsite.pl8
urn:cite:shot:epigimg.IMG_8039,urn:cite:shot:epigsite.pl8
urn:cite:shot:epigimg.IMG_8040,urn:cite:shot:epigsite.pl8
